adjective,comment_id,comment_score,item,parent_item,post_id
skinny,dlzyej9,1.0,pants,pants,6vb2gv
,dm0eflr,1.0,pants,pants,6vb2gv
,dm0eflr,1.0,pants,pants,6vb2gv
,dm2oqcd,1.0,pants,pants,6vb2gv
interesting,dm2oqcd,1.0,pants,pants,6vb2gv
stretch,ei7u2q7,412.0,pants,pants,azhg0n
,ei7tmuv,352.0,pants,pants,azhg0n
,ei7v8gw,95.0,pants,pants,azhg0n
ponte,ei7v8gw,95.0,pants,pants,azhg0n
,ei7v8gw,95.0,pants,pants,azhg0n
,ei7v8gw,95.0,pants,pants,azhg0n
versatile,ei7v8gw,95.0,pants,pants,azhg0n
,ei7s8bz,191.0,pants,pants,azhg0n
,ei7s8bz,191.0,pants,pants,azhg0n
simple,ei7s8bz,191.0,pants,pants,azhg0n
,ei7u3my,43.0,pants,pants,azhg0n
,ei83co1,23.0,pants,pants,azhg0n
,ei7wxt9,22.0,pants,pants,azhg0n
,ei7wxt9,22.0,pants,pants,azhg0n
,ei7wxt9,22.0,pants,pants,azhg0n
dress,ei7wxt9,22.0,pants,pants,azhg0n
dress,ei7yx6t,7.0,pants,pants,azhg0n
,ei7yx6t,7.0,pants,pants,azhg0n
see,ei7yx6t,7.0,pants,pants,azhg0n
dress,ei7z5ox,6.0,pants,pants,azhg0n
,ei7z5ox,6.0,pants,pants,azhg0n
,ei82kuw,6.0,pants,pants,azhg0n
,ei84n76,7.0,pants,pants,azhg0n
,ei84n76,7.0,pants,pants,azhg0n
,ei8bh99,5.0,pants,pants,azhg0n
,ei8dm5b,4.0,pants,pants,azhg0n
slim,ei7w20d,6.0,pants,pants,azhg0n
,ei7zfqp,5.0,pants,pants,azhg0n
s,ei7zfqp,5.0,pants,pants,azhg0n
nicer,ei7zfqp,5.0,pants,pants,azhg0n
,ei7tgeg,23.0,pants,pants,azhg0n
patterned,ei86bnr,5.0,pants,pants,azhg0n
black,ei86bnr,5.0,pants,pants,azhg0n
neutral,ei86bnr,5.0,pants,pants,azhg0n
,ei86bnr,5.0,pants,pants,azhg0n
,ei8eatt,4.0,pants,pants,azhg0n
,ei8eatt,4.0,pants,pants,azhg0n
,ei81mrp,3.0,pants,pants,azhg0n
grandpa,ei81mrp,3.0,pants,pants,azhg0n
,ei82x2g,3.0,pants,pants,azhg0n
,ei7zth0,2.0,pants,pants,azhg0n
,ei7zth0,2.0,pants,pants,azhg0n
cropped,ei7zth0,2.0,pants,pants,azhg0n
,ei7zth0,2.0,pants,pants,azhg0n
cardiganshirtdress,ei80lxy,2.0,pants,pants,azhg0n
dress,ei80lxy,2.0,pants,pants,azhg0n
same,ei80lxy,2.0,pants,pants,azhg0n
,ei85iv3,2.0,pants,pants,azhg0n
,ei88eq6,2.0,pants,pants,azhg0n
basic,ei88eq6,2.0,pants,pants,azhg0n
,ei8mjen,2.0,pants,pants,azhg0n
black,ei8mjen,2.0,pants,pants,azhg0n
,ei8mjen,2.0,pants,pants,azhg0n
,ei7z6lv,1.0,pants,pants,azhg0n
,ei83x4c,1.0,pants,pants,azhg0n
,ei842ui,1.0,pants,pants,azhg0n
,ei84g3p,1.0,pants,pants,azhg0n
,ei84g3p,1.0,pants,pants,azhg0n
,ei8c2bk,1.0,pants,pants,azhg0n
,ei8cknc,1.0,pants,pants,azhg0n
,ei8lhtx,1.0,pants,pants,azhg0n
,ei8lhtx,1.0,pants,pants,azhg0n
black,ei8lhtx,1.0,pants,pants,azhg0n
beige,ei8lhtx,1.0,pants,pants,azhg0n
,ei8rs5r,1.0,pants,pants,azhg0n
long,ei8uksn,1.0,pants,pants,azhg0n
,ei8z8kr,1.0,pants,pants,azhg0n
,eib9cla,1.0,pants,pants,azhg0n
,ei85433,1.0,pants,pants,azhg0n
sloan,ei87afi,1.0,pants,pants,azhg0n
,ei87afi,1.0,pants,pants,azhg0n
,ei87afi,1.0,pants,pants,azhg0n
skinny,ck1sk06,3.0,pants,pants,2eoy3f
,cgd8w97,6.0,pants,pants,21h9wt
cas,cgd8w97,6.0,pants,pants,21h9wt
dress,cgd8w97,6.0,pants,pants,21h9wt
,cgd8w97,6.0,pants,pants,21h9wt
,cgd8w97,6.0,pants,pants,21h9wt
,cgdagj6,3.0,pants,pants,21h9wt
,cgdagj6,3.0,pants,pants,21h9wt
,cgdagj6,3.0,pants,pants,21h9wt
,cgdagj6,3.0,pants,pants,21h9wt
,cgddbsz,2.0,pants,pants,21h9wt
,cgddbsz,2.0,pants,pants,21h9wt
,cgd98bt,1.0,pants,pants,21h9wt
,cgd98bt,1.0,pants,pants,21h9wt
,cgd98bt,1.0,pants,pants,21h9wt
,cgd98bt,1.0,pants,pants,21h9wt
,cgdbdym,1.0,pants,pants,21h9wt
dark,cgdbdym,1.0,pants,pants,21h9wt
,duyohbc,25.0,pants,pants,80w5kv
,duyohbc,25.0,pants,pants,80w5kv
,dv02b2n,10.0,pants,pants,80w5kv
,duzs6u9,6.0,pants,pants,80w5kv
,duzs6u9,6.0,pants,pants,80w5kv
ankle,duzgxby,6.0,pants,pants,80w5kv
skinny,duzgxby,6.0,pants,pants,80w5kv
linen,duzgxby,6.0,pants,pants,80w5kv
,duyxp9a,4.0,pants,pants,80w5kv
,duyxp9a,4.0,pants,pants,80w5kv
,dv8ast7,2.0,pants,pants,80w5kv
,dv8ast7,2.0,pants,pants,80w5kv
,ceq6dnu,17.0,pants,pants,1v9ync
,ceqc4f2,3.0,pants,pants,1v9ync
,ceqanjn,2.0,pants,pants,1v9ync
,ceqcuo0,2.0,pants,pants,1v9ync
,ceqg1rg,1.0,pants,pants,1v9ync
,ceqtz5u,1.0,pants,pants,1v9ync
,e0mx67a,2.0,pants,pants,8qrt07
,caz9wys,4.0,pants,pants,1hyru5
,cd9gqje,4.0,pants,pants,1q4ksz
nice,cd9niln,3.0,pants,pants,1q4ksz
,cd9niln,3.0,pants,pants,1q4ksz
capri,c9fp221,2.0,pants,pants,1ce7h4
first,c9fwpj3,1.0,pants,pants,1ce7h4
wear,d98695p,8.0,pants,pants,59ef3d
,d4g449k,33.0,pants,pants,4ow7ne
comfortable,d4gn2ax,5.0,pants,pants,4ow7ne
skinny,d4gv7rh,2.0,pants,pants,4ow7ne
,e24l1vt,385.0,pants,pants,8xowpq
ankle,e24l1vt,385.0,pants,pants,8xowpq
,e24l1vt,385.0,pants,pants,8xowpq
,e24j9yj,213.0,pants,pants,8xowpq
black,e24j9yj,213.0,pants,pants,8xowpq
ankle,e24i9gj,90.0,pants,pants,8xowpq
legged,e24ol9g,34.0,pants,pants,8xowpq
ponte,e24mnuf,15.0,pants,pants,8xowpq
printed,e24opkd,9.0,pants,pants,8xowpq
pixie,e2587id,7.0,pants,pants,8xowpq
red,e262ye1,2.0,pants,pants,8xowpq
black,e28hoc1,2.0,pants,pants,8xowpq
wear,e28hoc1,2.0,pants,pants,8xowpq
,d8y5whg,63.0,pants,pants,587gga
,d8y4pxe,18.0,pants,pants,587gga
uniqlo,d8y4ld7,9.0,pants,pants,587gga
ankle,d8y9rwb,8.0,pants,pants,587gga
drapey,d8y5zus,8.0,pants,pants,587gga
,d8y5zus,8.0,pants,pants,587gga
,d8y7d30,5.0,pants,pants,587gga
,d8y5zi3,6.0,pants,pants,587gga
,d8z6k00,3.0,pants,pants,587gga
ankle,d8zdhon,2.0,pants,pants,587gga
,d8zy3ia,2.0,pants,pants,587gga
slim,d8y806j,1.0,pants,pants,587gga
,d8yvxib,1.0,pants,pants,587gga
,d8yvxib,1.0,pants,pants,587gga
,d8z8w5c,1.0,pants,pants,587gga
,csr0ryk,7.0,pants,pants,3byrnj
skinny,csr0ryk,7.0,pants,pants,3byrnj
,csr4m75,6.0,pants,pants,3byrnj
,csr4m75,6.0,pants,pants,3byrnj
,csqza0g,4.0,pants,pants,3byrnj
,csqza0g,4.0,pants,pants,3byrnj
conservative,csqza0g,4.0,pants,pants,3byrnj
ankle,csr0nca,2.0,pants,pants,3byrnj
,csr1wd3,3.0,pants,pants,3byrnj
nice,csqznob,2.0,pants,pants,3byrnj
,di6msj6,13.0,pants,pants,6dwzme
grey,di6msj6,13.0,pants,pants,6dwzme
ankle,di74ze0,8.0,pants,pants,6dwzme
,di6p7on,7.0,pants,pants,6dwzme
pixie,di6pghc,5.0,pants,pants,6dwzme
bootcut,di6sszd,5.0,pants,pants,6dwzme
,di6sszd,5.0,pants,pants,6dwzme
bootcut,di6sszd,5.0,pants,pants,6dwzme
ponte,di87drk,3.0,pants,pants,6dwzme
,di786kk,2.0,pants,pants,6dwzme
,difbntr,2.0,pants,pants,6dwzme
khaki,di6vcja,1.0,pants,pants,6dwzme
,di6vcja,1.0,pants,pants,6dwzme
palazzo,di70qvq,1.0,pants,pants,6dwzme
skinnyleg,di70qvq,1.0,pants,pants,6dwzme
ponte,di8hmdv,1.0,pants,pants,6dwzme
nonjean,e6o5nhf,49.0,pants,pants,9j2kty
ponte,e6o8xs1,45.0,pants,pants,9j2kty
tight,e6o8xs1,45.0,pants,pants,9j2kty
skinny,e6ocqbn,10.0,pants,pants,9j2kty
,e6oaiz4,13.0,pants,pants,9j2kty
black,e6oaiz4,13.0,pants,pants,9j2kty
black,e6o5vsw,6.0,pants,pants,9j2kty
,e6p18qu,2.0,pants,pants,9j2kty
,e6o5w44,3.0,pants,pants,9j2kty
,ddtjfaw,5.0,pants,pants,5udc9f
,ddtjfaw,5.0,pants,pants,5udc9f
,drude4h,55.0,pants,pants,7mihi2
ponte,drude4h,55.0,pants,pants,7mihi2
,drujvuj,87.0,pants,pants,7mihi2
black,drufa19,8.0,pants,pants,7mihi2
,drufa19,8.0,pants,pants,7mihi2
,drupfsk,14.0,pants,pants,7mihi2
long,drupfsk,14.0,pants,pants,7mihi2
,drupfsk,14.0,pants,pants,7mihi2
,druf5bf,7.0,pants,pants,7mihi2
black,drudoaq,3.0,pants,pants,7mihi2
pixie,druyl9w,2.0,pants,pants,7mihi2
skinny,druqpyw,1.0,pants,pants,7mihi2
,drva0wj,1.0,pants,pants,7mihi2
colored,drva0wj,1.0,pants,pants,7mihi2
,drvaaql,1.0,pants,pants,7mihi2
ankle,drvaaql,1.0,pants,pants,7mihi2
,drvkmu3,1.0,pants,pants,7mihi2
gray,drw3k1u,1.0,pants,pants,7mihi2
,ds0xzqa,1.0,pants,pants,7mihi2
,ca8ezv7,2.0,pants,pants,1f9jrq
,caa6fci,1.0,pants,pants,1f9jrq
,dv9mirc,47.0,pants,pants,82fdga
,dva062v,7.0,pants,pants,82fdga
jeansstyled,dv9v4x1,2.0,pants,pants,82fdga
,dva9fei,2.0,pants,pants,82fdga
,dva9fei,2.0,pants,pants,82fdga
,dvaifv7,1.0,pants,pants,82fdga
,dvc22y3,1.0,pants,pants,82fdga
black,c758592,5.0,pants,pants,13mghx
,c75bctp,1.0,pants,pants,13mghx
coloured,chyg94u,30.0,pants,pants,278o2j
,chyg94u,30.0,pants,pants,278o2j
black,chyfd93,10.0,pants,pants,278o2j
,chyfd93,10.0,pants,pants,278o2j
dress,chyjkus,2.0,pants,pants,278o2j
,chyjkus,2.0,pants,pants,278o2j
,chyjkus,2.0,pants,pants,278o2j
,cf2fjtz,8.0,pants,pants,1wiuhn
,cf2fjtz,8.0,pants,pants,1wiuhn
,cf2j9cj,2.0,pants,pants,1wiuhn
,czz3agl,11.0,pants,pants,45nx6x
great,czz88h4,10.0,pants,pants,45nx6x
ponte,czz88h4,10.0,pants,pants,45nx6x
ponte,czz6zx5,6.0,pants,pants,45nx6x
ponte,czz6hc1,6.0,pants,pants,45nx6x
ponte,czz6hc1,6.0,pants,pants,45nx6x
,czz6hc1,6.0,pants,pants,45nx6x
favorite,d002l1r,5.0,pants,pants,45nx6x
,d002l1r,5.0,pants,pants,45nx6x
,d002l1r,5.0,pants,pants,45nx6x
,d002l1r,5.0,pants,pants,45nx6x
nicelooking,d002l1r,5.0,pants,pants,45nx6x
yoga,czz4fgu,8.0,pants,pants,45nx6x
,czzbgtr,2.0,pants,pants,45nx6x
,czzvwq9,1.0,pants,pants,45nx6x
,cogmc2l,3.0,pants,pants,2vcaul
,cogmc2l,3.0,pants,pants,2vcaul
,ckjfdno,1.0,pants,pants,2gi1ki
,ckjfdno,1.0,pants,pants,2gi1ki
,ckjti3v,1.0,pants,pants,2gi1ki
,ci4qo1o,5.0,pants,pants,27ur3c
,ci4kvfz,3.0,pants,pants,27ur3c
,ci4kvfz,3.0,pants,pants,27ur3c
,cc8prw1,5.0,pants,pants,1mfeev
dress,cc8prw1,5.0,pants,pants,1mfeev
,cagwjh2,2.0,pants,pants,1g5g2h
,cagwjh2,2.0,pants,pants,1g5g2h
black,cim0ut3,3.0,pants,pants,29kdca
,cazrdtd,57.0,pants,pants,1i0hqs
sweat,cb05bzu,3.0,pants,pants,1i0hqs
,d3yq2oe,41.0,pants,pants,4mvlmu
,d3yq2oe,41.0,pants,pants,4mvlmu
businessy,d3yq2oe,41.0,pants,pants,4mvlmu
,d14ruub,36.0,pants,pants,4azf8d
,c5oj0l0,7.0,pants,pants,xpkxs
dress,c5ogk62,11.0,pants,pants,xpkxs
,c5oi77g,5.0,pants,pants,xpkxs
petite,e1kwltz,38.0,pants,pants,8v5pvy
,e1ld0u9,23.0,pants,pants,8v5pvy
great,e1mk6bi,3.0,pants,pants,8v5pvy
,e1mf1cm,8.0,pants,pants,8v5pvy
,col0syo,2.0,pants,pants,2vubyc
,col0syo,2.0,pants,pants,2vubyc
black,col0syo,2.0,pants,pants,2vubyc
new,col0syo,2.0,pants,pants,2vubyc
,col3now,1.0,pants,pants,2vubyc
,col3now,1.0,pants,pants,2vubyc
,col3now,1.0,pants,pants,2vubyc
functional,d3abdkt,5.0,pants,pants,4jtfas
,c8xcbq1,3.0,pants,pants,1ags53
,c8xcbq1,3.0,pants,pants,1ags53
,c8xfxih,3.0,pants,pants,1ags53
,c8xby8f,2.0,pants,pants,1ags53
,c8xby8f,2.0,pants,pants,1ags53
dress,c2wlzv8,6.0,pants,pants,lygzk
,c2wlzv8,6.0,pants,pants,lygzk
,c2wlzv8,6.0,pants,pants,lygzk
,d1ada4r,8.0,pants,pants,4blos5
,d1afdk2,1.0,pants,pants,4blos5
ponte,cn34lo5,2.0,pants,pants,2pzmz1
,cn34lo5,2.0,pants,pants,2pzmz1
capri,c9dldfl,3.0,pants,pants,1c6h0x
,e6qdvja,74.0,pants,pants,9jchsi
,e6qhr1j,16.0,pants,pants,9jchsi
,e6qhr1j,16.0,pants,pants,9jchsi
,e6ql8xf,8.0,pants,pants,9jchsi
,e6ql8xf,8.0,pants,pants,9jchsi
skinny,e6ql8xf,8.0,pants,pants,9jchsi
,e6qq36o,8.0,pants,pants,9jchsi
,e6qj5vt,5.0,pants,pants,9jchsi
,e6qtg32,3.0,pants,pants,9jchsi
,e6s1da0,1.0,pants,pants,9jchsi
,dvey5gw,39.0,pants,pants,833q4k
,dvfhvcj,14.0,pants,pants,833q4k
,dvfs6of,3.0,pants,pants,833q4k
,dvfs6of,3.0,pants,pants,833q4k
,dvfs6of,3.0,pants,pants,833q4k
,dvgxyr8,1.0,pants,pants,833q4k
,dvgxyr8,1.0,pants,pants,833q4k
,dvgxyr8,1.0,pants,pants,833q4k
,dvjspzd,1.0,pants,pants,833q4k
,dvfn968,1.0,pants,pants,833q4k
,c5ratk9,32.0,pants,pants,y0s9f
,c5rbhnk,7.0,pants,pants,y0s9f
red,c5rofd7,3.0,pants,pants,y0s9f
,c5rk7i0,4.0,pants,pants,y0s9f
,c5rkr5e,-4.0,pants,pants,y0s9f
,c5rkr5e,-4.0,pants,pants,y0s9f
casual,c5rkr5e,-4.0,pants,pants,y0s9f
,c5rkr5e,-4.0,pants,pants,y0s9f
,c5rkr5e,-4.0,pants,pants,y0s9f
,c7fr3ec,5.0,pants,pants,14re4f
,d08hevs,146.0,pants,pants,46x2vn
,d08hevs,146.0,pants,pants,46x2vn
skinny,d08hevs,146.0,pants,pants,46x2vn
,d08hevs,146.0,pants,pants,46x2vn
,d08hevs,146.0,pants,pants,46x2vn
skinny,d08h9vf,52.0,pants,pants,46x2vn
,d08h9vf,52.0,pants,pants,46x2vn
skinny,d08i7uz,45.0,pants,pants,46x2vn
,d08n1me,6.0,pants,pants,46x2vn
leggingsjeggingsponte,d08mj2p,10.0,pants,pants,46x2vn
,d08qsw3,14.0,pants,pants,46x2vn
green,d08gc69,9.0,pants,pants,46x2vn
,d08px8c,1.0,pants,pants,46x2vn
,d08px8c,1.0,pants,pants,46x2vn
,d08px8c,1.0,pants,pants,46x2vn
weird,d08ggiu,2.0,pants,pants,46x2vn
colored,d08ggiu,2.0,pants,pants,46x2vn
,d08ggiu,2.0,pants,pants,46x2vn
green,d08ggiu,2.0,pants,pants,46x2vn
,d08x62b,1.0,pants,pants,46x2vn
,d08x62b,1.0,pants,pants,46x2vn
black,d097544,1.0,pants,pants,46x2vn
ponte,d098b7f,1.0,pants,pants,46x2vn
cigarette,d09av82,1.0,pants,pants,46x2vn
,ckhivy6,4.0,pants,pants,2gbp5b
,ckhivy6,4.0,pants,pants,2gbp5b
curvy,ckhivy6,4.0,pants,pants,2gbp5b
,ckhivy6,4.0,pants,pants,2gbp5b
twill,ckjtvs1,2.0,pants,pants,2gbp5b
fit,ckhknjx,1.0,pants,pants,2gbp5b
,dbf5toz,252.0,dresses,dresses,5jd2ee
general,dbf8xri,3.0,dresses,dresses,5jd2ee
,dbfffry,4.0,dresses,dresses,5jd2ee
,dbiheae,1.0,dresses,dresses,5jd2ee
,df9afku,1.0,dresses,dresses,60rrx5
,cmdq9sw,54.0,dresses,dresses,2nhsr3
,cmdq9sw,54.0,dresses,dresses,2nhsr3
,cmdq9sw,54.0,dresses,dresses,2nhsr3
,cmdq9sw,54.0,dresses,dresses,2nhsr3
,cmdq9sw,54.0,dresses,dresses,2nhsr3
wear,cmdslvf,12.0,dresses,dresses,2nhsr3
,cmdslvf,12.0,dresses,dresses,2nhsr3
,cmdslvf,12.0,dresses,dresses,2nhsr3
,cmdslvf,12.0,dresses,dresses,2nhsr3
wear,cmds99d,10.0,dresses,dresses,2nhsr3
,cmds99d,10.0,dresses,dresses,2nhsr3
,cmds99d,10.0,dresses,dresses,2nhsr3
,cmds99d,10.0,dresses,dresses,2nhsr3
,cmds99d,10.0,dresses,dresses,2nhsr3
,cme2ree,6.0,dresses,dresses,2nhsr3
adorable,cenoxpm,10.0,dresses,dresses,1v15kq
,ceo6djj,5.0,dresses,dresses,1v15kq
sheathaline,ceo74ch,2.0,dresses,dresses,1v15kq
,ceo3833,1.0,dresses,dresses,1v15kq
,c2ijwma,3.0,dresses,dresses,k9mbx
basic,c2ijwma,3.0,dresses,dresses,k9mbx
new,c2ijwma,3.0,dresses,dresses,k9mbx
professional,c2ijwma,3.0,dresses,dresses,k9mbx
,c2ijwma,3.0,dresses,dresses,k9mbx
,c2ijqqk,1.0,dresses,dresses,k9mbx
,c2ioqr8,1.0,dresses,dresses,k9mbx
,c2jbz9z,1.0,dresses,dresses,k9mbx
,c2jbz9z,1.0,dresses,dresses,k9mbx
,c7ifm6q,2.0,dresses,dresses,14z8a3
,c7ifm6q,2.0,dresses,dresses,14z8a3
,e6881im,7.0,dresses,dresses,9gx7u9
,dlz3umg,17.0,dresses,dresses,6vb2gv
